iter	RMSE
0	105502.4632
1	85956.8787
2	71683.64469
3	61016.5116
4	52788.9704
5	47602.95077
6	43366.92657
7	40177.86625
8	38165.11841
9	36282.72945
10	34812.38018
11	33824.33522
12	33128.4343
13	32680.11139
14	32179.38044
15	31768.21307
16	31446.7676
17	31136.38123
18	30928.14241
19	30692.23303
20	30408.04231
21	30237.91477
22	30079.62926
23	29871.58325
24	29680.66937
25	29500.72191
26	29282.21795
27	29146.74618
28	29005.12743
29	28766.2087
30	28634.11092
31	28372.15698
32	28244.14728
33	28108.50912
34	27838.41445
35	27706.33257
36	27425.763
37	27315.6316
38	27103.6374
39	26942.19917
40	26818.49939
41	26724.27846
42	26516.03538
43	26416.14956
44	26318.22649
45	26245.82122
46	26084.37509
47	25954.88466
48	25776.2111
49	25646.00037
50	25442.37575
51	25377.78504
52	25275.9117
53	25098.87449
54	25013.12141
55	24841.89497
56	24664.50928
57	24577.09018
58	24472.96125
59	24421.89974
60	24266.01034
61	24184.58409
62	23966.76279
63	23892.66792
64	23834.72484
65	23752.05918
66	23607.95023
67	23464.6992
68	23329.91969
69	23260.48983
70	23117.75914
71	23002.30678
72	22923.3702
73	22875.06914
74	22830.60024
75	22771.25596
76	22646.93014
77	22547.39613
78	22439.20127
79	22308.97501
80	22243.36443
81	22127.39535
82	21989.33704
83	21934.93664
84	21828.74539
85	21698.41153
86	21614.23248
87	21556.79377
88	21431.07687
89	21289.07202
90	21170.95978
91	21099.47807
92	20985.19333
93	20913.00998
94	20811.46135
95	20686.50271
96	20616.73877
97	20541.04066
98	20465.82298
99	20449.61713
