iter	Passed	Remaining
0	1	174
1	2	144
2	4	140
3	5	134
4	6	127
5	7	123
6	9	120
7	10	119
8	11	118
9	13	117
10	14	115
11	15	114
12	16	113
13	18	112
14	19	111
15	20	110
16	22	108
17	23	107
18	25	106
19	26	105
20	27	103
21	28	101
22	29	99
23	30	97
24	31	95
25	32	93
26	34	92
27	35	90
28	36	89
29	37	87
30	38	86
31	40	86
32	42	85
33	45	88
34	50	93
35	51	91
36	53	90
37	54	89
38	55	87
39	56	85
40	58	83
41	59	81
42	60	80
43	61	78
44	62	76
45	63	75
46	65	73
47	66	72
48	68	71
49	70	70
50	71	68
51	72	66
52	73	65
53	74	63
54	75	62
55	77	60
56	78	59
57	79	57
58	80	56
59	81	54
60	83	53
61	84	51
62	85	50
63	87	48
64	88	47
65	89	45
66	90	44
67	91	43
68	92	41
69	94	40
70	95	38
71	96	37
72	98	36
73	99	34
74	100	33
75	101	32
76	102	30
77	103	29
78	104	27
79	105	26
80	106	25
81	108	23
82	109	22
83	110	21
84	111	19
85	113	18
86	114	17
87	115	15
88	116	14
89	118	13
90	119	11
91	120	10
92	121	9
93	122	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	130	0
